Instituto;Detalle;Tipo;Presupuesto CLP;Real CLP;Inicio;Termino
Arica;Colocar Techo fuera de bodega general;GASTO;1725500;;;
Arica;Instalar cortina de aire en comedor;INVERSION;1368500;;;
Arica;Mejorar paredes perimetrales de cancha con evidente deterioro;GASTO;2294320;;;
Arica;Comprar arcos de baby futbol y Basquetbol para cancha;INVERSION;2500000;;;
Iquique;Trabajo en techumbre (inclinacion y reparación);GASTO;5400000;;;
Iquique;Limpieza y pintura de fachada del Instituto en evidente deterioro.;GASTO;6000000;;;
Iquique;Traslado de UTAC-Arte a primer piso (patio central).;GASTO;5950000;;;
Iquique;Ampliación sala UTAC-Música.;GASTO;8330000;;;
Calama;Cambio de mueble recepcion 221 00;GASTO;4500000;;;
Calama;Sombreado fijo para estacionamiento. (actividades con pacientes y campaña);INVERSION;29990000;;;
Calama;Ampliación sala de UTA para sala multiuso. Proyecto GI;INVERSION;41650000;;;
Calama;Reemplazo de ceramicas camarin mujeres. La gran mayoria esta quebrada;GASTO;5000000;;;
Antofagasta;Cambio de equipo de AC de cafeteria ( 2 unidades caset piso cielo);INVERSION;4600000;;;
Antofagasta;Normalizar sistema de bombeo de circulación de  piscina ( faltante 2 Bombas );INVERSION;1785000;;;
Antofagasta;Instalación cortina faltante (black out) frontis admisión;GASTO;476000;;;
Antofagasta;"Implementación sala de Musica y adquisición de linóleo de Danza, en patio exterior";INVERSION;45000000;;;
Copiapo;Construir garita frontal. A actual  no cuenta con ventilación ni espacio;GASTO;5500000;;;
Copiapo;Habilitar baño y camarín en sector piscina. Protocolo de espacios separados;GASTO;3000000;;;
Coquimbo;Instalacion sistema de apertura automatica de Portones de estacionamiento;GASTO;6000000;;;
Coquimbo;Cierre Terraza en 2° piso para habilitar para reuniones con equipo y padres.;GASTO;3000000;;;
Santiago;"Separación de modulos movilización para creación de 2 box medicos, (Coordindor de LOP)";GASTO;7000000;;;
Santiago;Remodelación recepción Guardias Titan (muebles nuevos y pintura);GASTO;1000000;;;
Santiago;"Renovar empavonado Sector Box Lop, dañado y sucio";GASTO;890000;;;
Santiago;Renovar iluminación salas y oficinas de  kinesiología;GASTO;3900000;;;
Santiago;Aumento capacidad electrica Grupo electrogeno edificio A;INVERSION;30000000;;;
Santiago;Instalacion de espejos sala UTAC ciclodanza;GASTO;4000000;;;
Santiago;Galpón LOP renovar lavafondo acero inoxidable por corrosión - sala de yeso;GASTO;2000000;;;
Santiago;Galpón Lop Mejoramiento extracción sala de Laminado y Tabartería;GASTO;4000000;;;
Santiago;Modificacion de oficinas y puestos de trabajo en Galpon LOP - PARTE 1 (piso superior);INVERSION;78000000;;;
Valparaiso;Extractores en baños de personal (extractor centrifugo de simple aspiración);GASTO;3400000;;;
Valparaiso;Mudador para pacientes;GASTO;4300000;;;
Valparaiso;Cambios de pisos en mal estado (tarket ml y palmetas);GASTO;1700000;;;
Valparaiso;Reparación y sellado de paredes interior IT (humedad);GASTO;1500000;;;
Valparaiso;Pintura exterior escalera;GASTO;2150000;;;
Valparaiso;Cambios de quicio puerta interior/cambio puerta acceso;GASTO;2500000;;;
Valparaiso;Cierre hacia enfermería (que impida el libre tránsito de pacientes);GASTO;1500000;;;
Rancagua;Demarcacion reglamentaria de espacios deportivos en multicancha;GASTO;17000000;;;
Talca;Modificación de pendiente de la cubierta del estacionamiento de vehículos institucionales.;GASTO;5000000;;;
Talca;Construcción de acceso con rampa al estacionamiento interior del edificio (nueva mampara).;GASTO;9000000;;;
Talca;Nuevo toldo estructural en entrada principal (para dejar y retirar pacientes).;INVERSION;20000000;;;
Talca;Construcción de biblioteca en archivo de fichas clínicas.;INVERSION;15000000;;;
Talca;Remodelación del área para la sala de descanso de TO.;GASTO;4000000;;;
Talca;Mejoramiento y sellado de la pirámide vidriada y el pasillo central (enfermería);GASTO;2000000;;;
Concepcion;Instalación de termos de agua caliente para optimizar el uso de las calderas;INVERSION;3000000;;;
Concepcion;Mejorar infraestructura para prevenir el ingreso de palomas al interior del instituto;GASTO;7000000;;;
Concepcion;Trabajos de reparacion restantes para eliminar zonas de goteras historicas;GASTO;5000000;;2026-07-06;2026-07-31
Concepcion;"Remodelar de box de traumatólogo, se necesita mas espacio para la atención de pacientes.";GASTO;4000000;;;
Concepcion;Instalar cielo falso en sala de esterilización para alcanzar temp. exigida por normativa.;GASTO;2000000;;;
Valdivia;Instalacion de AC en casino y Administración (24K= 2 uni.);INVERSION;3000000;;;
Valdivia;Instalacion de AC en Dirección y voluntariado (9K= 2 uni.);INVERSION;1500000;;;
Valdivia;Implementacion de campana con extracción en nueva sala LOP;INVERSION;2500000;;;
Valdivia;Bomba de condensación ambas calderas;INVERSION;900000;;;
Valdivia;Pintura boxes médicos;GASTO;1249500;;;
Valdivia;Vestidor personal en piscina;GASTO;5950000;;;
Valdivia;Cielo americano oficina JGSV y sala de familia;GASTO;2000000;;;
Valdivia;Compra e instalacion Ac para sala nuevas tecnologías de 18000 BTU;INVERSION;1200000;;;
Temuco;Modificación de circuito de agua potable para sectorizar y evitar corte total;GASTO;5000000;;;
Temuco;"Mejora de mobiliario antiguo y en mal estado, distintos sectores";GASTO;10000000;;;
Temuco;"Reparación de techumbre de Intituto, deteriorado y con filtraciones en varios puntos (LOP, pasillo, etc)";GASTO;40000000;;;
Temuco;Cambio de sistema de calefaccion para duchas (sistema de agua caliente).;INVERSION;8000000;;;
Puerto Montt;Sala de bienestar para colaboradores;GASTO;10000000;;;
Puerto Montt;Ampliacion sala para padres;INVERSION;10000000;;;
Puerto Montt;Instalar techo  en pasillo de acceso a unidad de movilizacion;GASTO;15000000;;;
Puerto Montt;Mejoramiento interior Sala REAS;GASTO;3000000;;;
Puerto Montt;Instalacion de AP para lavamanos en Sala de Arte;GASTO;1785000;;;
Coyhaique;Mejoramiento de puerta de bodega pellet;GASTO;1000000;;;
Coyhaique;Cambio de iluminación fluorescente a Led;GASTO;600000;;;
Iquique;Cambio de Grupo Electrógeno;INVERSION;15000000;;;
Antofagasta;Implementación de sistema de climatización de presición y VEX-VIN para sala eléctrica -1;INVERSION;20000000;;;
Calama;Suministro e instalación de planta solar térmica para aporte de ACS a piscinas;INVERSION;8000000;;;
Copiapo;Suministro e instalación de planta solar térmica para aporte de ACS a piscinas;INVERSION;8000000;;;
Coquimbo;Suministro e intalación de planta fotovoltaica;INVERSION;40000000;;;
Coquimbo;Suministro e instalación de planta solar térmica para aporte de ACS a piscinas;INVERSION;8000000;;;
Santiago;Unificación de sistema de respaldo de agua del edificio B con edificio A;INVERSION;8000000;;;
